precio_alquiler,expensas,direccion,superficie,ambientes,habitaciones,banos,descripcion,url,scraped_at,pagina,moneda_original,precio_alquiler_original,barrio,precio_por_m2,costo_total,categoria_tamano
800000,104000.0,Manuel Ricardo Trelles al 700,50.0,2,1.0,1.0,"Departamento en alquiler de Dos Ambientes en Flores: Amoblado y Luminoso Este departamento de dos ambientes amoblado se encuentra en la mejor zona de Flores (Flores Norte). Sus características incluyen: Luminosidad: El departamento está bañado de luz natural, lo que crea un ambiente acogedor y agradable. Distribución Funcional: La cocina está integrada al living comedor, lo que facilita la interacción entre los espacios y permite una mayor fluidez en la vida diaria. Todo es a electricidad. Ambientes Amplios y Luminosos: Tanto el Living como el Dormitorio cuentan con una excelente iluminación, lo que crea una sensación de amplitud y bienestar. El balcon es lindisimo y tiene en uno de sus extremos el lavadero. El dormitorio cuenta con un placard de amplias dimensiones para guardado. También cuenta con un vestidor de guardado muy útil. Excelente Estado: El departamento se encuentra en óptimas condiciones, listo para habitar. Bajas Expensas: El costo de mantenimiento es reducido, lo que es una gran ventaja. En este momento paga 42. 000$Sum y Parrilla: Además, cuenta con un espacio para reuniones) una parrilla para disfrutar de momentos al aire libre. Este departamento es perfecto para aquellos que buscan comodidad, luminosidad y una ubicación privilegiada en Flores. No tiene cochera, pero puede alquilarse en el mismo edificio. disponible A partir de junio¡No dudes en contactarnos para más detalles! requisitos: 1. Garantia propietaria2. Mes de adelanto3. Indexacion trimestral por ipc4. Dos meses de deposito5. Mes de comision inmobiliaria",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-2-ambientes-amoblado-flores-56338981.html,2025-05-28 01:58:02.463836,1,ARS,800000,Flores,16000.0,904000.0,Pequeño
750000,218000.0,Boyaca 236,73.0,3,2.0,2.0,"* semipiso de tres ambientes en alquiler * caballito / flores. Sobre Av Boyacá entre Bacacay y Bogotá, excelente zona por su fácil acceso, a solo dos cuadras de Av Avellaneda y a dos de Av Rivadavia, con cercanía a todos los medios de transporte y subte línea A estación Carabobo. Cuenta con, - Palier privado - Amplio living comedor con gran ventanal, salida a balcón corrido - Dormitorio principal orientado al contrafrente y salida a balcón- Segundo dormitorio orientado al pulmón del edificio- Ambos dormitorios con amplios placares y puertas espejadas- Dos baños completos - Cocina separada- Lavadero independiente. Características generales, - Pisos flotantes en todos los ambientes - Persianas en ambos dormitorios- Calefacción individual en cada ambiente. Agua caliente central. No se aceptan mascotas. disponible.",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-de-tres-ambientes-en-caballito!-55995804.html,2025-05-28 01:58:06.329761,1,ARS,750000,Flores,10273.972602739726,968000.0,Mediano
480000,150000.0,Ramón Falcón al 1800,42.0,2,1.0,1.0,"Excelente departamento de 2 ambientes, en inmejorable zona de Flores, muy luminoso! Rodeado de comercios y servicios, y de una amplia variedad de transportes. A sólo una cuadra del subte A (estación Carabobo). Cercano a puntos verdes como Parque Chacabuco y la Plaza del Ángel Gris. Cuenta con: * Amplio living con salida al balcón hacia Pumacahua. * Hall de distrubución* Cocina con conexión para lavarropas* Baño completo con bañera* Cómoda habitación con abundantes placardscondiciones: - Contrato a 24 meses con ajuste trimestral por ipc- Depósito en garantía. - Garantía propietaria en caba o seguro de caución finaer O garantía yaconsultanos para más información.",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-con-balcon-en-alquiler-proximo-al-subte-a-56085731.html,2025-05-28 01:58:09.977091,1,ARS,480000,Flores,11428.57142857143,630000.0,Pequeño
700000,23000.0,av avellaneda 2933,56.0,3,2.0,1.0,"Alquiler Departamento 3 Ambientes en Flores con expensas bajas. Departamento de 2 dormitorios y un amplio living con cocina y lavadero independientes sobre Av. Avellaneda. Ubicación: A 30 mts de Av. Nazca. A 400 mts de Av. Rivadavia. A 400 mts de la estación San pedrito subte A. A 500 mts de Av. Gaona. A 600 mts de Av. Juan Bautista Alberdi. A 700 mts de Juan b justo. Cercanía a múltiples líneas de transporte publico. Edificio: - 2 Ascensores. - 10 pisos. - 3 departamentos por piso. - Encargado con vivienda. - Antigüedad aprox: 40 años. Departamento: - Gran living y comedor. - Pasillo distribuidor hacia dormitorios. - Dos dormitorios. Todos con placard empotrado. - Pisos originales en excelente estado. - Baño completo. - Cocina independiente con ventana. - Área de lavadero Independiente con conexión a lavarropas. Superficie total: 56, 70 mts. Alquiler: $700. 000. Expensas: $23. 000. Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Brian David Levi, matricula cucicba 7924, por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10. 973 de la Provincia de Buenos Aires, Ley Nacional 25. 028, Ley Nacional 20. 266, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria. Da",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-3-ambientes-en-flores-con-56290442.html,2025-05-28 01:58:14.905363,1,ARS,700000,Flores,12500.0,723000.0,Mediano
500000,,Av. Directorio al 2100,29.0,1,1.0,1.0,"Mono ambiente al frente con balcon en edificio ubicado a metros de la Plaza Misericordia y a dos cuadras de Av. Carabobo. Con accesibilidad a medios de locomoción, zona comercial y de colegios. Edificio de 12 pisos con cuatro unidades por planta de 1 y 2 ambientes. - Parrilla común en terraza- Solárium- Laundry- Piscina en terraza con duchas en exteriorArquitectura• Construcción tradicional. Muros interiores de ladrillo hueco. Muros divisores de departamentos de ladrillo común. • Terminaciones interiores en yeso. • Carpinterías de aluminio anodizado natural, línea Rotonda serie 700 y 640 de Hydro o similar. (Opción: A 30 new) • Sistema de agua sanitaria presurizada en ss• Desagües cloacales y pluviales en polipropileno sanitario marca awaduct o similar. • Distribución agua fría y caliente en termofusión. • Termotanques central para agua caliente sanitaria. • Calefacción aa frio calor• Colocación de aire acondicionado frio - calor y entrega con splits• Instalación de Portero eléctrico tipo comax o similar. • Revestimientos de primera calidad en baños. • Artefactos de baño Ferrum o similar. • Grifería de cocina fv o similar• Grifería de baño fv o similar• Mesada de granito en cocina con bacha de acero inoxidable Mi Pileta o similar. • Mesada de Baños de mármol con bacha cerámica. • Frentes de placard con guías de aluminio anodizado y puertas espejadas o pintadas en blanco si hubiera. • Interiores de placard de melamina. • Puertas interiores. Marcos de chapa bwg n° 18 y hojas placa para pintar. • Puertas exteriores de chapa bwg n° 18 para pintar. • Anafes eléctricos con horno eléctrico. • Piso porcelanato primera calidad en estar - comedor y dormitorios. • Muebles de cocina de diseño contemporáneo. • Ascensor con cabina de acero inoxidable y espejo. • Parrilla común en terraza. • Laundry. • Piscina exterior con Duchas• Solárium. • Previsión grupo electrógeno para Ascensor y Luz de emergencia. (servicios generales) • Hall de acceso en mármol o porcelanato. • Ayudante de portería para personal con retiro. aviso legal: Se hace saber que las características descriptas del inmueble publicado, calidades y cualidades constructivas y funcionales, valores de expensas, impuestos y servicios, y medidas y superficies, son aproximados y consignadas en base a datos que fueron proporcionados por el propietario y que pueden no ser exactos y/o no estar actualizados a la hora de la visualización de este aviso, pudiendo surgir discordancias con los datos que surgen de la documentación respectiva. Las medidas y superficies exactas son las que surgen de los títulos y planos legales del inmueble. Las imágenes publicadas lo son al mero efecto orientativo de las características generales y circunstancias del inmueble en el momento en que han sido tomadas, pudiendo las mismas diferir del estado y circunstancias actuales del mismo. Asimismo, los mobiliarios, accesorios, elementos, etc, que se visualicen en las imagines publicadas, no integran la oferta de venta. En todos los casos el interesado deberá realizar una visita al inmueble y efectuar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la afip (pedido de coti). -",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-flores-55984473.html,2025-05-28 01:58:18.517980,1,ARS,500000,Flores,17241.379310344826,500000.0,Muy pequeño
550000,80000.0,Av. Carabobo al 100,45.0,2,1.0,1.0,"Departamento de 2 ambientes interno en 1º piso con balcón aterrazadoEdificio dos ascensoresCocina integrada con conexión de lavarropasDormitorio con placard y persianaBaño completo y antebañoApto Profesional. Expensas incluyen AysaMuy buena ubicación, a 2 cuadras de Av. Rivadavia y a metros de Av. Juan B. AlberdiAmenities: Piscina con jardín",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-2-ambientes-en-flores-56139242.html,2025-05-28 01:58:23.770830,1,ARS,550000,Flores,12222.222222222223,630000.0,Pequeño
700000,,"Ramon L Falcon al 2600, Piso 1",38.0,2,1.0,1.0,"Edificio ubicado a una cuadra de Av. Rivadavia, múltiples líneas de colectivos y cercanía al subte A y ferrocarril Sarmiento. Departamento reciclado y amoblado en un primer piso por escalera. Posee living-comedor y dormitorio con pisos de parquet plastificado. Baño completo con ventilación al exterior en suite. Cocina con lavarropas y muebles de cocina completo. El equipamiento incluye mesa, sillas, sillón de dos cuerpos, heladera, lavarropas, microondas, aire acondicionado frío/calor, cama matrimonial, botinero, amplio placard y de más muebles incluidos en las fotografías. No incluye televisor. el precio incluye el valor de las expensas. El inquilino tendrá a cargo los servicios de luz, gas, Aysa, abl e impuesto inmobiliario. condiciones: - Justificación de ingresos acordes- Contrato a dos años con ajustes trimestrales por ipc- Depósito de garantía U$S 700- Garantía propietaria o seguro de caución. vremont Guzmán - Corredor inmobiliario Eduardo Guzmán - Matrícula N° 805 cucicbasr. Inquilino: Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes. Se deja constancia que las medidas, superficies y m2 consignados son aproximados, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Ley 5115: excepto que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas. -",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-ramon-falcon-2600-departamento-de-dos-ambientes-56200252.html,2025-05-28 01:58:29.298434,1,ARS,700000,Flores,18421.052631578947,700000.0,Pequeño
400000,110000.0,Boyacá 736/ 9ºC,40.0,1,0.0,,"Se Alquila Bello Monoambiente en Boyacá 736/Edificio 3-Complejo Torres de Sol. Piso 9º C/Contra FrenteDescripciónÚnico espacio con diseño funcional divido con un gran placard completo, en excelentes condiciones y muy luminoso, con salida a balcón y excelente vista, ubicado en el piso 9°, unidad “C”, C. Frente. . Cocina integrada con muebles bajo y sobremesada, Baño completo con vanitory. Pisos de porcelanato, El edificio cuenta con un excelente hall de entrada, ascensor revestido en acero inoxidable, agua caliente central, laundry, sum, parrilla y jacuzzi. Sistema de portería y seguridad compartida con el complejo Torres del Sol. Condiciones: -Sistemas de Fianza, Garantías o Caución. -Comprobantes de Sueldo o certificación de ingresos avalada por un contador, legalizada por el colegio Profesional. -1mes de depósito-1mes de adelanto. -Pago de Expensa +abl $ 17. 000-No se aceptan mascotas-Contrato 24 meses-Alquiler ($400. 000) -Reajuste Trimestral por ipc -Justificación de ingresos $ 1. 200. 000 aprox.",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-se-alquila-depto-momo-ambientes-en-piso-alto-en-55740825.html,2025-05-28 01:58:32.093033,1,ARS,400000,Flores,10000.0,510000.0,Pequeño
570000,130000.0,Yerbal y Ganaderos,40.0,2,1.0,1.0,"_ Departamento de un dormitorio en venta ubicado sobre calle Yerbal y Ganaderos (Flores, Buenos Aires). Desarrollado en piso alto por ascensor, con disposición frente y orientación sudeste. _ El mismo posee cocina equipada con muebles sobre y bajo mesada, living, toilette, comedor, un dormitorio en suite y un baño completo. Amplio y luminoso, cuenta con equipo de aire acondicionado. _ La propiedad tiene una superficie total de aproximadamente 40mts2. _ Las expensas al día 23/5/2025 son de aproximadamente $130. 000Yacoub | Construimos ConfianzaInnovación | Calidad | Sustentabilidad | Diseño70 Mil Metros Cuadrados | 20 TorresLa información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste. Lo que estás buscando lo tenemos | Estés Donde EstésVendemos en Todos Lados.",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-1-dormitorio-2-banos-56322129.html,2025-05-28 01:58:35.495545,1,ARS,570000,Flores,14250.0,700000.0,Pequeño
450000,92000.0,Lafuente 37 1 G,41.0,1,0.0,1.0,"Hermoso Monoambiente en VentaListo para Habitar. Excelente unidad muy amplia y cómoda, que cuenta con cocina integrada con anafe, amoblamiento de cocina completo, termotanque individual, patio, aire acondicionado y baño completo. Ubicado a solo 50 metros de Av. Rivadavia y a 150 metros de la estación de Subte San Pedrito (cabecera de la Línea A), este edificio permite una rápida conexión con el resto de la ciudad, facilitando el acceso tanto a transporte público como a arterias principales. Las unidades sn aptas para uso profesiona o vivienda. Adaptadas a diversas necesidades y estilos de vida. La entrada del edificio tiene doble altura, brindando una impresión de amplitud y modernidad desde el primer momento. Incluye dos ascensores de última generación, uno de ellos camillero, para mayor comodidad y accesibilidad. El edificio cuenta con piscina, solarium, parrillas, salón de usos múltiples (sum), gimnasio, laundry y terraza. Aviso legal: Las descripciones, valores de accesorios (como expensas, aysa, abl), imágenes y medidas publicadas son aproximados, de carácter orientativo y no vinculantes. La información ha sido proporcionada por el propietario, por lo que podría estar desactualizada al momento de la consulta. El interesado tiene el derecho de solicitar la documentación actualizada antes de proceder con la reserva. La venta está supeditada al cumplimiento, por parte del propietario, de los requisitos establecidos en la Resolución General Nº 2371 de la afip, relativa al pedido de coti. Matr. 933 F° 36 L° I cucicba",https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-hermoso-monoambiente-con-patio!-55062548.html,2025-05-28 01:58:40.037325,1,ARS,450000,Flores,10975.609756097561,542000.0,Pequeño
